ID,Ticker,Date,TEXTBLOB_Polarity,TEXTBLOB_Subjectivity,FINBERT_Negative,FINBERT_Neutral,FINBERT_Positive,EMO_Neutral,EMO_Disappointment,EMO_Annoyance,EMO_Disapproval,EMO_Approval,EMO_Realization,EMO_Sadness,EMO_Optimism,EMO_Desire,EMO_Admiration,EMO_Disgust,EMO_Embarrassment,EMO_Confusion,EMO_Caring,EMO_Remorse,EMO_Anger,EMO_Relief,EMO_Curiosity,EMO_Nervousness,EMO_Joy,EMO_Gratitude,EMO_Pride,EMO_Grief,EMO_Love,EMO_Amusement,EMO_Surprise,EMO_Fear,EMO_Excitement
,AAPL,2020-10-07T04:23:26Z,0.2143,0.4286,0.8457,0.1398,0.0146,0.6429,0.1915,0.082,0.0786,0.0767,0.0612,0.0124,0.0091,0.0035,0.0031,0.0031,0.003,0.0027,0.0025,0.0025,0.0024,0.0021,0.001,0.001,0.0009,0.0009,0.0008,0.0008,0.0008,0.0006,0.0006,0.0006,0.0005
,AAPL,2020-10-09T12:25:13Z,0.3,0.4,0.1221,0.5807,0.2972,0.0679,0.0026,0.0066,0.0049,0.0546,0.0138,0.0011,0.0036,0.0007,0.1968,0.0012,0.0006,0.0013,0.0015,0.0007,0.0008,0.0025,0.0005,0.0001,0.0029,0.856,0.0031,0.0004,0.0008,0.0006,0.0012,0.0003,0.0026
,AAPL,2021-01-02T16:25:30Z,0.15,0.55,0.2274,0.6868,0.0858,0.7988,0.0448,0.0096,0.049,0.0556,0.0209,0.0082,0.025,0.003,0.002,0.0018,0.0008,0.003,0.0057,0.0009,0.0009,0.0018,0.0008,0.0029,0.0015,0.0008,0.0005,0.0007,0.0023,0.0011,0.0006,0.005,0.0012
,AAPL,2021-01-03T16:06:22Z,0.2812,0.5125,0.0268,0.9342,0.0389,0.4959,0.0014,0.0025,0.002,0.0904,0.007,0.001,0.0176,0.012,0.0069,0.0009,0.0005,0.0102,0.0062,0.0006,0.0007,0.0014,0.0749,0.0024,0.0141,0.0012,0.0008,0.0003,0.0051,0.0047,0.0048,0.0018,0.3142
,AAPL,2021-01-03T19:01:04Z,0.0,0.0,0.017,0.9404,0.0425,0.9028,0.0024,0.0033,0.0017,0.0412,0.0103,0.0018,0.0127,0.0054,0.0025,0.0008,0.0003,0.0042,0.0012,0.0005,0.0006,0.0006,0.0054,0.0005,0.0031,0.0013,0.0005,0.0003,0.0011,0.0021,0.001,0.0008,0.0079
,AAPL,2021-01-04T07:05:41Z,-0.05,0.45,0.0139,0.8386,0.1474,0.7498,0.0046,0.0033,0.0017,0.0582,0.0489,0.0016,0.0241,0.0061,0.0047,0.0009,0.0013,0.0038,0.0011,0.0006,0.0005,0.0022,0.0079,0.0013,0.0121,0.0016,0.0015,0.0007,0.0029,0.0037,0.0407,0.0012,0.1018
,AAPL,2021-01-04T10:18:38Z,0.0,0.0,0.01,0.4072,0.5828,0.9578,0.0029,0.0048,0.0024,0.0253,0.0077,0.0023,0.0042,0.003,0.0019,0.0012,0.0004,0.0026,0.0019,0.0005,0.0011,0.0004,0.0021,0.0004,0.0019,0.0005,0.0003,0.0004,0.0016,0.0018,0.0006,0.0009,0.0021
,AAPL,2021-01-04T11:28:03Z,-0.1818,0.75,0.0082,0.3376,0.6542,0.9155,0.0024,0.0023,0.0023,0.0351,0.0094,0.0013,0.0201,0.0074,0.0057,0.0007,0.0003,0.0029,0.0012,0.0004,0.0005,0.0007,0.0023,0.0006,0.004,0.0012,0.0007,0.0003,0.0011,0.0016,0.0012,0.0013,0.0128
,AAPL,2021-01-04T17:38:02Z,0.17,0.57,0.9356,0.0515,0.0129,0.8607,0.0035,0.0037,0.0031,0.1441,0.0548,0.0013,0.039,0.0038,0.0034,0.0007,0.0004,0.0039,0.0078,0.0005,0.0004,0.002,0.0021,0.0011,0.0017,0.0008,0.0006,0.0003,0.0012,0.0008,0.0009,0.0014,0.0031
,AAPL,2021-01-05T02:13:23Z,0.0333,0.0667,0.0103,0.8978,0.0919,0.912,0.0022,0.0033,0.0021,0.0543,0.0207,0.0023,0.0025,0.0016,0.0024,0.0012,0.0006,0.0016,0.0011,0.0006,0.0007,0.0014,0.0009,0.0006,0.0064,0.0015,0.0007,0.0005,0.0017,0.0026,0.001,0.0012,0.0048
