WeekEndingFriday,Ticker,AdjClosePrice_t+1,AdjClosePrice_t+1_Up,AdjClosePrice,AdjClosePrice_t-1,AdjClosePrice_t-2,QuarterlyReleased,BookToMarket,MarketCap,FreeCashFlowYield,FreeCashFlowYield_TTM,EarningsYield,EarningsYield_TTM,BookToMarket_L1W,MarketCap_L1W,FreeCashFlowYield_L1W,FreeCashFlowYield_TTM_L1W,EarningsYield_L1W,EarningsYield_TTM_L1W,BookToMarket_L2W,MarketCap_L2W,FreeCashFlowYield_L2W,FreeCashFlowYield_TTM_L2W,EarningsYield_L2W,EarningsYield_TTM_L2W,GrossProfitability,GrossProfitability_TTM,OperatingMargin,OperatingMargin_TTM,ROA,ROA_TTM,ROE,ROE_TTM,AssetGrowth,InvestmentIntensity,InvestmentIntensity_TTM,Accruals,Accruals_TTM,IncomeQuality,IncomeQuality_TTM,DebtToAssets,CashRatio,WorkingCapitalScaled,GrossProfitability_L1Q,GrossProfitability_TTM_L1Q,OperatingMargin_L1Q,OperatingMargin_TTM_L1Q,ROA_L1Q,ROA_TTM_L1Q,ROE_L1Q,ROE_TTM_L1Q,AssetGrowth_L1Q,InvestmentIntensity_L1Q,InvestmentIntensity_TTM_L1Q,Accruals_L1Q,Accruals_TTM_L1Q,IncomeQuality_L1Q,IncomeQuality_TTM_L1Q,DebtToAssets_L1Q,CashRatio_L1Q,WorkingCapitalScaled_L1Q,GrossProfitability_L2Q,GrossProfitability_TTM_L2Q,OperatingMargin_L2Q,OperatingMargin_TTM_L2Q,ROA_L2Q,ROA_TTM_L2Q,ROE_L2Q,ROE_TTM_L2Q,AssetGrowth_L2Q,InvestmentIntensity_L2Q,InvestmentIntensity_TTM_L2Q,Accruals_L2Q,Accruals_TTM_L2Q,IncomeQuality_L2Q,IncomeQuality_TTM_L2Q,DebtToAssets_L2Q,CashRatio_L2Q,WorkingCapitalScaled_L2Q
2021-01-01,BTI,25.878568649291992,1,25.39093399047852,25.228391647338867,25.57380104064941,1,0.9991510207575074,62726253287.0,0.0771606743009962,0.2232239176782126,0.0469181538156677,0.1929654549048054,0.9794502993035338,70593678973.97766,0.0354422667349904,0.2131352299339191,0.0489703901290414,0.1771121746553097,0.966221537892675,71560193277.0,0.0349635724195865,0.2102565590028374,0.0483089807571985,0.1747200423509554,0.0803035805069358,0.3104437504539182,0.4346538319141059,0.4154840957930807,0.0213741012419202,0.0879076185634396,0.0469580202000861,0.1931294177716082,-0.0591217832201281,0.0042631999418984,0.0114024257389788,-0.0180405258188684,-0.0251870143075023,1.8440366972477065,1.2865168539325842,0.3193260222238361,0.2028039798423569,-0.0135521824388118,0.0672792889564243,0.2768786392187428,0.4219704995517888,0.4119088698925574,0.0226425722276439,0.0818918370153985,0.0499978305829946,0.1808281387848372,0.0714100251928056,0.0011003622025583,0.0100604544233905,0.0051546729369846,-0.0267165322871159,0.7723459647092855,1.326241701991522,0.3305081970434315,0.2581202115031833,-0.0128768576799386,0.0802028296868905,0.2933087479167405,0.4250383015977237,0.4059044253409835,0.0204957271018758,0.0832310910960604,0.0452255015492472,0.1836562235923758,-0.0002339794948879,0.0041204212616573,0.0111556327789794,-0.0216517144782099,-0.0427928087656466,2.056401384083045,1.5141445126107702,0.3217332718697918,0.1341975243053711,-0.0393532144250203
2021-01-08,BTI,25.655073165893555,0,25.878568649291992,25.39093399047852,25.228391647338867,0,0.9803238508964685,63930914200.12679,0.0757067228046991,0.2190176720478092,0.0460340671930226,0.1893293745512557,0.9991510207575074,62726253287.0,0.0771606743009962,0.2232239176782126,0.0469181538156677,0.1929654549048054,0.9794502993035338,70593678973.97766,0.0354422667349904,0.2131352299339191,0.0489703901290414,0.1771121746553097,0.0803035805069358,0.3104437504539182,0.4346538319141059,0.4154840957930807,0.0213741012419202,0.0879076185634396,0.0469580202000861,0.1931294177716082,-0.0591217832201281,0.0042631999418984,0.0114024257389788,-0.0180405258188684,-0.0251870143075023,1.8440366972477065,1.2865168539325842,0.3193260222238361,0.2028039798423569,-0.0135521824388118,0.0672792889564243,0.2768786392187428,0.4219704995517888,0.4119088698925574,0.0226425722276439,0.0818918370153985,0.0499978305829946,0.1808281387848372,0.0714100251928056,0.0011003622025583,0.0100604544233905,0.0051546729369846,-0.0267165322871159,0.7723459647092855,1.326241701991522,0.3305081970434315,0.2581202115031833,-0.0128768576799386,0.0802028296868905,0.2933087479167405,0.4250383015977237,0.4059044253409835,0.0204957271018758,0.0832310910960604,0.0452255015492472,0.1836562235923758,-0.0002339794948879,0.0041204212616573,0.0111556327789794,-0.0216517144782099,-0.0427928087656466,2.056401384083045,1.5141445126107702,0.3217332718697918,0.1341975243053711,-0.0393532144250203
2021-01-15,BTI,25.68893241882324,1,25.655073165893555,25.878568649291992,25.39093399047852,0,0.988864107418689,63378779277.97414,0.0763662546855337,0.2209256814270337,0.0464351007313069,0.1909787493210124,0.9803238508964685,63930914200.12679,0.0757067228046991,0.2190176720478092,0.0460340671930226,0.1893293745512557,0.9991510207575074,62726253287.0,0.0771606743009962,0.2232239176782126,0.0469181538156677,0.1929654549048054,0.0803035805069358,0.3104437504539182,0.4346538319141059,0.4154840957930807,0.0213741012419202,0.0879076185634396,0.0469580202000861,0.1931294177716082,-0.0591217832201281,0.0042631999418984,0.0114024257389788,-0.0180405258188684,-0.0251870143075023,1.8440366972477065,1.2865168539325842,0.3193260222238361,0.2028039798423569,-0.0135521824388118,0.0672792889564243,0.2768786392187428,0.4219704995517888,0.4119088698925574,0.0226425722276439,0.0818918370153985,0.0499978305829946,0.1808281387848372,0.0714100251928056,0.0011003622025583,0.0100604544233905,0.0051546729369846,-0.0267165322871159,0.7723459647092855,1.326241701991522,0.3305081970434315,0.2581202115031833,-0.0128768576799386,0.0802028296868905,0.2933087479167405,0.4250383015977237,0.4059044253409835,0.0204957271018758,0.0832310910960604,0.0452255015492472,0.1836562235923758,-0.0002339794948879,0.0041204212616573,0.0111556327789794,-0.0216517144782099,-0.0427928087656466,2.056401384083045,1.5141445126107702,0.3217332718697918,0.1341975243053711,-0.0393532144250203
2021-01-22,BTI,24.754301071166992,0,25.68893241882324,25.655073165893555,25.878568649291992,0,0.9875605890814972,63462435310.71893,0.0762655888684831,0.2206344577141532,0.0463738900908979,0.1907270015834959,0.988864107418689,63378779277.97414,0.0763662546855337,0.2209256814270337,0.0464351007313069,0.1909787493210124,0.9803238508964685,63930914200.12679,0.0757067228046991,0.2190176720478092,0.0460340671930226,0.1893293745512557,0.0803035805069358,0.3104437504539182,0.4346538319141059,0.4154840957930807,0.0213741012419202,0.0879076185634396,0.0469580202000861,0.1931294177716082,-0.0591217832201281,0.0042631999418984,0.0114024257389788,-0.0180405258188684,-0.0251870143075023,1.8440366972477065,1.2865168539325842,0.3193260222238361,0.2028039798423569,-0.0135521824388118,0.0672792889564243,0.2768786392187428,0.4219704995517888,0.4119088698925574,0.0226425722276439,0.0818918370153985,0.0499978305829946,0.1808281387848372,0.0714100251928056,0.0011003622025583,0.0100604544233905,0.0051546729369846,-0.0267165322871159,0.7723459647092855,1.326241701991522,0.3305081970434315,0.2581202115031833,-0.0128768576799386,0.0802028296868905,0.2933087479167405,0.4250383015977237,0.4059044253409835,0.0204957271018758,0.0832310910960604,0.0452255015492472,0.1836562235923758,-0.0002339794948879,0.0041204212616573,0.0111556327789794,-0.0216517144782099,-0.0427928087656466,2.056401384083045,1.5141445126107702,0.3217332718697918,0.1341975243053711,-0.0393532144250203
2021-01-29,BTI,25.22161865234375,1,24.754301071166992,25.68893241882324,25.655073165893555,0,1.0248474480748924,61153491788.19448,0.0791451127069468,0.2289648487856755,0.0481248071687075,0.1979281909514224,0.9875605890814972,63462435310.71893,0.0762655888684831,0.2206344577141532,0.0463738900908979,0.1907270015834959,0.988864107418689,63378779277.97414,0.0763662546855337,0.2209256814270337,0.0464351007313069,0.1909787493210124,0.0803035805069358,0.3104437504539182,0.4346538319141059,0.4154840957930807,0.0213741012419202,0.0879076185634396,0.0469580202000861,0.1931294177716082,-0.0591217832201281,0.0042631999418984,0.0114024257389788,-0.0180405258188684,-0.0251870143075023,1.8440366972477065,1.2865168539325842,0.3193260222238361,0.2028039798423569,-0.0135521824388118,0.0672792889564243,0.2768786392187428,0.4219704995517888,0.4119088698925574,0.0226425722276439,0.0818918370153985,0.0499978305829946,0.1808281387848372,0.0714100251928056,0.0011003622025583,0.0100604544233905,0.0051546729369846,-0.0267165322871159,0.7723459647092855,1.326241701991522,0.3305081970434315,0.2581202115031833,-0.0128768576799386,0.0802028296868905,0.2933087479167405,0.4250383015977237,0.4059044253409835,0.0204957271018758,0.0832310910960604,0.0452255015492472,0.1836562235923758,-0.0002339794948879,0.0041204212616573,0.0111556327789794,-0.0216517144782099,-0.0427928087656466,2.056401384083045,1.5141445126107702,0.3217332718697918,0.1341975243053711,-0.0393532144250203
2021-02-05,BTI,25.75666236877441,1,25.22161865234375,24.754301071166992,25.68893241882324,0,1.0058585326783194,62307966740.7298,0.0776786702114637,0.2247224670043212,0.0472331252959375,0.1942608727767679,1.0248474480748924,61153491788.19448,0.0791451127069468,0.2289648487856755,0.0481248071687075,0.1979281909514224,0.9875605890814972,63462435310.71893,0.0762655888684831,0.2206344577141532,0.0463738900908979,0.1907270015834959,0.0803035805069358,0.3104437504539182,0.4346538319141059,0.4154840957930807,0.0213741012419202,0.0879076185634396,0.0469580202000861,0.1931294177716082,-0.0591217832201281,0.0042631999418984,0.0114024257389788,-0.0180405258188684,-0.0251870143075023,1.8440366972477065,1.2865168539325842,0.3193260222238361,0.2028039798423569,-0.0135521824388118,0.0672792889564243,0.2768786392187428,0.4219704995517888,0.4119088698925574,0.0226425722276439,0.0818918370153985,0.0499978305829946,0.1808281387848372,0.0714100251928056,0.0011003622025583,0.0100604544233905,0.0051546729369846,-0.0267165322871159,0.7723459647092855,1.326241701991522,0.3305081970434315,0.2581202115031833,-0.0128768576799386,0.0802028296868905,0.2933087479167405,0.4250383015977237,0.4059044253409835,0.0204957271018758,0.0832310910960604,0.0452255015492472,0.1836562235923758,-0.0002339794948879,0.0041204212616573,0.0111556327789794,-0.0216517144782099,-0.0427928087656466,2.056401384083045,1.5141445126107702,0.3217332718697918,0.1341975243053711,-0.0393532144250203
2021-02-12,BTI,24.564659118652344,0,25.75666236877441,25.22161865234375,24.754301071166992,0,0.984963835066768,63629747376.20856,0.0760650513255015,0.2200543075743124,0.0462519516634196,0.1902254919925352,1.0058585326783194,62307966740.7298,0.0776786702114637,0.2247224670043212,0.0472331252959375,0.1942608727767679,1.0248474480748924,61153491788.19448,0.0791451127069468,0.2289648487856755,0.0481248071687075,0.1979281909514224,0.0803035805069358,0.3104437504539182,0.4346538319141059,0.4154840957930807,0.0213741012419202,0.0879076185634396,0.0469580202000861,0.1931294177716082,-0.0591217832201281,0.0042631999418984,0.0114024257389788,-0.0180405258188684,-0.0251870143075023,1.8440366972477065,1.2865168539325842,0.3193260222238361,0.2028039798423569,-0.0135521824388118,0.0672792889564243,0.2768786392187428,0.4219704995517888,0.4119088698925574,0.0226425722276439,0.0818918370153985,0.0499978305829946,0.1808281387848372,0.0714100251928056,0.0011003622025583,0.0100604544233905,0.0051546729369846,-0.0267165322871159,0.7723459647092855,1.326241701991522,0.3305081970434315,0.2581202115031833,-0.0128768576799386,0.0802028296868905,0.2933087479167405,0.4250383015977237,0.4059044253409835,0.0204957271018758,0.0832310910960604,0.0452255015492472,0.1836562235923758,-0.0002339794948879,0.0041204212616573,0.0111556327789794,-0.0216517144782099,-0.0427928087656466,2.056401384083045,1.5141445126107702,0.3217332718697918,0.1341975243053711,-0.0393532144250203
2021-02-19,BTI,23.74516487121582,0,24.564659118652344,25.75666236877441,25.22161865234375,0,1.032759111455229,60685012898.78664,0.0797561007043433,0.2307324219136808,0.0484963232175376,0.1994561658936718,0.984963835066768,63629747376.20856,0.0760650513255015,0.2200543075743124,0.0462519516634196,0.1902254919925352,1.0058585326783194,62307966740.7298,0.0776786702114637,0.2247224670043212,0.0472331252959375,0.1942608727767679,0.0803035805069358,0.3104437504539182,0.4346538319141059,0.4154840957930807,0.0213741012419202,0.0879076185634396,0.0469580202000861,0.1931294177716082,-0.0591217832201281,0.0042631999418984,0.0114024257389788,-0.0180405258188684,-0.0251870143075023,1.8440366972477065,1.2865168539325842,0.3193260222238361,0.2028039798423569,-0.0135521824388118,0.0672792889564243,0.2768786392187428,0.4219704995517888,0.4119088698925574,0.0226425722276439,0.0818918370153985,0.0499978305829946,0.1808281387848372,0.0714100251928056,0.0011003622025583,0.0100604544233905,0.0051546729369846,-0.0267165322871159,0.7723459647092855,1.326241701991522,0.3305081970434315,0.2581202115031833,-0.0128768576799386,0.0802028296868905,0.2933087479167405,0.4250383015977237,0.4059044253409835,0.0204957271018758,0.0832310910960604,0.0452255015492472,0.1836562235923758,-0.0002339794948879,0.0041204212616573,0.0111556327789794,-0.0216517144782099,-0.0427928087656466,2.056401384083045,1.5141445126107702,0.3217332718697918,0.1341975243053711,-0.0393532144250203
2021-02-26,BTI,24.896530151367188,1,23.74516487121582,24.564659118652344,25.75666236877441,0,1.0684019389051336,58660507546.649925,0.0825086621719216,0.2386955139940593,0.0501700398289184,0.2063398444068057,1.032759111455229,60685012898.78664,0.0797561007043433,0.2307324219136808,0.0484963232175376,0.1994561658936718,0.984963835066768,63629747376.20856,0.0760650513255015,0.2200543075743124,0.0462519516634196,0.1902254919925352,0.0803035805069358,0.3104437504539182,0.4346538319141059,0.4154840957930807,0.0213741012419202,0.0879076185634396,0.0469580202000861,0.1931294177716082,-0.0591217832201281,0.0042631999418984,0.0114024257389788,-0.0180405258188684,-0.0251870143075023,1.8440366972477065,1.2865168539325842,0.3193260222238361,0.2028039798423569,-0.0135521824388118,0.0672792889564243,0.2768786392187428,0.4219704995517888,0.4119088698925574,0.0226425722276439,0.0818918370153985,0.0499978305829946,0.1808281387848372,0.0714100251928056,0.0011003622025583,0.0100604544233905,0.0051546729369846,-0.0267165322871159,0.7723459647092855,1.326241701991522,0.3305081970434315,0.2581202115031833,-0.0128768576799386,0.0802028296868905,0.2933087479167405,0.4250383015977237,0.4059044253409835,0.0204957271018758,0.0832310910960604,0.0452255015492472,0.1836562235923758,-0.0002339794948879,0.0041204212616573,0.0111556327789794,-0.0216517144782099,-0.0427928087656466,2.056401384083045,1.5141445126107702,0.3217332718697918,0.1341975243053711,-0.0393532144250203
2021-03-05,BTI,25.3706169128418,1,24.896530151367188,23.74516487121582,24.564659118652344,0,1.018992795309748,61504850955.25037,0.0786929799004225,0.2276568397863049,0.0478498842658974,0.1967974852716351,1.0684019389051336,58660507546.649925,0.0825086621719216,0.2386955139940593,0.0501700398289184,0.2063398444068057,1.032759111455229,60685012898.78664,0.0797561007043433,0.2307324219136808,0.0484963232175376,0.1994561658936718,0.0803035805069358,0.3104437504539182,0.4346538319141059,0.4154840957930807,0.0213741012419202,0.0879076185634396,0.0469580202000861,0.1931294177716082,-0.0591217832201281,0.0042631999418984,0.0114024257389788,-0.0180405258188684,-0.0251870143075023,1.8440366972477065,1.2865168539325842,0.3193260222238361,0.2028039798423569,-0.0135521824388118,0.0672792889564243,0.2768786392187428,0.4219704995517888,0.4119088698925574,0.0226425722276439,0.0818918370153985,0.0499978305829946,0.1808281387848372,0.0714100251928056,0.0011003622025583,0.0100604544233905,0.0051546729369846,-0.0267165322871159,0.7723459647092855,1.326241701991522,0.3305081970434315,0.2581202115031833,-0.0128768576799386,0.0802028296868905,0.2933087479167405,0.4250383015977237,0.4059044253409835,0.0204957271018758,0.0832310910960604,0.0452255015492472,0.1836562235923758,-0.0002339794948879,0.0041204212616573,0.0111556327789794,-0.0216517144782099,-0.0427928087656466,2.056401384083045,1.5141445126107702,0.3217332718697918,0.1341975243053711,-0.0393532144250203
